address,name,online_order,book_table,rate,votes,location,rest_type,cuisines,listed_in(type),listed_in(city),approx_cost
"46, 7th Cross Rd, NGR Layout, Roopena Agrahara, Bommanahalli, Bangalore",Sri Lakshmi Dhaba,No,No,3.0,17,bommanahalli,Quick Bites,"north indian, chinese",Delivery,BTM,300.0
"136, 3rd Floor, Sidartha Colony, 3rd Croos Koramangala 2nd Block, Bangalore",Nonveg Dreams,No,No,,0,koramangala 2nd block,Delivery,"north indian, south indian",Delivery,BTM,400.0
"119, 6th Cross, 29th Main Road, 2nd Stage, BTM, Bangalore",Cafe Longing,No,No,,0,btm,Quick Bites,fast food,Delivery,BTM,400.0
"93, 17th H Main Road, Koramangala 5th Block, Bangalore",Lime Twist,Yes,No,,0,koramangala 5th block,Quick Bites,"fast food, beverages",Delivery,BTM,150.0
"Mg Palaya Road, Bommanahalli, HSR, Bangalore",Hotel Palace,Yes,No,3.7,24,hsr,Quick Bites,"biryani, chinese",Delivery,BTM,250.0
"15, SG Palya Main Road, Near Srinivasa Theater, BTM, Bangalore",Desi Vdesi,Yes,No,3.8,50,btm,Quick Bites,"fast food, north indian, rolls",Delivery,BTM,250.0
"Roopena Agrahara, NGR Layout, Bommanahalli, Bangalore",Tasty Khaana Khazana,Yes,No,3.3,6,bommanahalli,Quick Bites,north indian,Delivery,BTM,300.0
"KHB Block Koramangala, Koramangala, Bengaluru, Karnataka",Chaai Resto,No,No,2.7,16,koramangala 5th block,Beverage Shop,beverages,Delivery,BTM,300.0
"11, 80 Feet Road, Opposite Indian Oil Petrol Pump, Koramangala 6th Block, Bangalore",Navab's,Yes,No,,0,koramangala 6th block,Delivery,"north indian, chinese",Delivery,BTM,600.0
Koramangala,SNACKOMATE,Yes,No,,0,koramangala 5th block,Quick Bites,fast food,Delivery,BTM,300.0
"Opposite Vinayaka Hospital, 6th A Cross Road,8th Block, Kaveri Nagar, Bommanahalli, Bangalore",House Of Lassi,Yes,No,3.6,23,bommanahalli,Beverage Shop,"beverages, fast food",Delivery,BTM,250.0
"22nd Cross, 16th Main Road, Sector 3, Opposite SBI, HSR, Bangalore",Lassi Pot,Yes,No,3.3,7,hsr,Beverage Shop,beverages,Delivery,BTM,100.0
"462, Opposite Fernhill Garden Apartments, Teachers Colony, Ring Road, HSR Layout, HSR, Bangalore",Aaranya Restaurant,Yes,No,3.4,212,hsr,Casual Dining,"north indian, chinese, mughlai",Delivery,BTM,800.0
"11, Opposite Karnataka Vedika Office, Venkatapura Main Road, 7th Cross, Koramangala 1st Block, Bangalore",Kerala Mess,Yes,No,3.4,19,koramangala 1st block,Quick Bites,kerala,Delivery,BTM,200.0
"18, 4th Block, Opposite Yes Bank, Near Sony World, Koramangala 4th Block, Bangalore",Hot & Cold Hut,Yes,No,3.0,46,koramangala 4th block,Quick Bites,"fast food, rolls, juices",Delivery,BTM,200.0
"15, Near Christ College, 7th Cross, S.G Palya Main Road, BTM, Bangalore",Sreeraj Lassi Bar,Yes,No,4.0,87,btm,Beverage Shop,beverages,Delivery,BTM,150.0
"Halcyon Condominiums, 9, Drafadilla Layout, Koramangala 4th Block, Bangalore",Cilantro,Yes,Yes,4.0,280,koramangala 4th block,"Casual Dining, Bar","european, american, continental, north indian, steak",Delivery,BTM,1500.0
"107/A, 22nd Cross, Sector 3, HSR Bangalore",The Open Cafe,Yes,No,3.7,15,hsr,Cafe,"cafe, chinese, continental",Delivery,BTM,500.0
"47, Jyothi Nivas College, Tibet Mall, Koramangala 5th Block, Bangalore",Rimo,Yes,No,3.9,44,koramangala 5th block,Quick Bites,"tibetan, asian, momos",Delivery,BTM,500.0
"117, Mestripalyam Post, KHB Colony, Koramangala 4th Block, Bangalore",Yum's The Word!,Yes,No,,0,koramangala 4th block,Delivery,chinese,Delivery,BTM,200.0
"16, 1st Floor, 3rd Cross, Narayana Reddy Layout, 80 Feet Road, Koramangala 6th Block, Bangalore",Hot Cross Bun,Yes,No,3.3,4,koramangala 6th block,"Takeaway, Delivery",fast food,Delivery,BTM,500.0
"1086/A, Twin Tulips, Near BDA Complex, 18th Cross, Sector 3, HSR, Bangalore",Midnight Joe's,Yes,No,,0,hsr,"Takeaway, Delivery","burger, fast food, finger food",Delivery,BTM,300.0
"Hongasandra Road, Oxford College Back Gate, Bommanahalli, Bangalore",Loukya Veg Restaurant,Yes,No,,0,bommanahalli,Quick Bites,"north indian, south indian, chinese",Delivery,BTM,300.0
"82, 11th Main, 1st Stage, BTM, Bangalore",Bullet Biryani,Yes,No,3.2,9,btm,"Takeaway, Delivery",biryani,Delivery,BTM,300.0
"Krimson Square, 31/9, Aayee Matha Temple Rd, Vinayaka Nagar, Muneswara Nagar, Sector 6, HSR Layout, Bengaluru, Karnataka 560068",Bajji House,Yes,No,3.5,7,hsr,Quick Bites,street food,Delivery,BTM,100.0
"26, Amar Nilaya, 1st C Cross, Maruthi Nagar, BTM, Bangalore",Biryani Spot,Yes,No,3.5,9,btm,Quick Bites,"south indian, biryani",Delivery,BTM,300.0
"Kitchens@, 14th Main, 5th Sector HSR, Bangalore",Samosa Singh,Yes,No,,0,hsr,Quick Bites,"north indian, mithai",Delivery,BTM,250.0
"3A, 14th Cross Rd, Venkateshwa Layout, Maruti Nagar, 1st Stage, BTM Layout, BTM, Bangalore",FoodNite,Yes,No,,0,btm,Quick Bites,"north indian, chinese, fast food",Delivery,BTM,350.0
"42, First Floor, 1st Main Road, Koramangala 1st Block, Bangalore",Aata's Kitchen,Yes,No,,0,koramangala 1st block,Quick Bites,"south indian, north indian",Delivery,BTM,250.0
"Shop 38, Beside Balaji Medical, Venkatapura Main Road, Koramangala 1st Block, Bangalore",Harilal ka Bihari Dhaba,Yes,No,,0,koramangala 1st block,Dhaba,"north indian, bihari",Delivery,BTM,250.0
"19, Teacher's Colony, 3rd Main Road, Jakkasandra Extension, Koramangala 1st Block",Desserts Tree,Yes,No,3.8,86,koramangala 1st block,Sweet Shop,"mithai, desserts",Delivery,BTM,100.0
"275, 17th F Main, Koramangala 5th Block, Bangalore",Om Sweets & Snacks,Yes,No,3.9,34,koramangala 5th block,Sweet Shop,"mithai, oriya, bengali",Delivery,BTM,150.0
"15, Hongasandra, Opposite Oxford College,Garvebhavipalya, Bommanahalli, Bangalore",Momos Corner,Yes,No,3.1,15,bommanahalli,Quick Bites,"chinese, rolls, momos",Delivery,BTM,250.0
"3,11th Cross, Maruthi Nagar, 1st Stage, BTM, Bangalore",Royal's Biryani,Yes,No,,0,btm,Quick Bites,biryani,Delivery,BTM,300.0
"278, 3nd Floor, Opposite Venkateshwara Temple, Sector 7, HSR. Bangalore",Healthy Yummy Food Restaurant,Yes,No,3.6,16,hsr,Casual Dining,"beverages, north indian, chinese, italian",Delivery,BTM,900.0
"10, Venkatapura Main Road, Teacher's Colony, Jakkasandra, Koramangala 1st Block",Shabari Kitchen,Yes,No,3.5,16,koramangala 1st block,Quick Bites,"south indian, chinese",Delivery,BTM,150.0
"Sector 6, HSR Layout, HSR",#L-81 Cafe,Yes,No,3.9,48,hsr,Quick Bites,"fast food, beverages",Delivery,BTM,400.0
"Shop #37, 1st Main, Koramangala 1st Block, Bangalore",House Of Wholewheat,Yes,No,3.1,6,koramangala 1st block,Bakery,"bakery, desserts",Delivery,BTM,200.0
"66,3rd Cross Road, mestrypalya, 4th B Block, Koramangala, 4th Block, Bangalore",STTYTT,Yes,No,,0,koramangala 4th block,"Takeaway, Delivery","north indian, south indian, chinese, andhra, fast food",Delivery,BTM,400.0
"185, 7th Cross Rd, KAS Officers Colony, Stage 2, BTM, Bengaluru",Dabba Karkhana,Yes,No,3.5,17,btm,"Takeaway, Delivery",north indian,Delivery,BTM,300.0
"42, Old Mangammanapalya Road, Popular Colony, Garvebhavi Palya, Bommanahalli, Bangalore",Hotel Tadaka House,Yes,No,3.4,7,bommanahalli,Quick Bites,"north indian, chinese, biryani",Delivery,BTM,300.0
"Shop no. 5, 17th 'E' Main KHB Colony Koramangala 5th Block",Eat Sleep Eat Repeat,Yes,No,3.5,16,koramangala 5th block,Quick Bites,"chinese, north indian, continental",Delivery,BTM,200.0
"201, MG Manson, 13th Cross Road, Jayaram Reddy Garden, Maruthi Nagar, BTM, Bangalore",Pan Asian,Yes,No,,0,btm,Quick Bites,chinese,Delivery,BTM,500.0
"756/L-189, Sector 6, Near Silk Board Junction, HSR, Bangalore",Aroma Fine Dine,Yes,Yes,4.0,127,hsr,Casual Dining,"north indian, mughlai, chinese, south indian",Delivery,BTM,900.0
"773, 16th Main, 2nd Stage, BTM Layout, BTM, Bangalore",Amma's Pastries,No,No,4.2,434,btm,Dessert Parlor,"bakery, desserts",Desserts,BTM,400.0
"20/21, 20th Main Road, 1st Cross, Maruti Nagar Main Road, BTM, Bangalore",Choco Cheese,Yes,No,4.4,63,btm,Dessert Parlor,"desserts, beverages",Desserts,BTM,300.0
"96, 29th Main, 23rd Cross, 2nd Stage, BTM, Bangalore",eat.fit,Yes,No,4.5,1238,btm,Delivery,"healthy food, north indian, biryani, continental, desserts",Desserts,BTM,500.0
"18th Main, Opposite Canara Bank, 2nd Stage, BTM, Bangalore",Coco Barista,Yes,No,3.7,18,btm,Cafe,"cafe, burger, rolls, beverages",Desserts,BTM,400.0
"24, 3rd 'B' Cross, 7th Cross, 18th Main, 2nd Stage, BTM, Bangalore",Waffle Head,Yes,No,4.0,48,btm,"Dessert Parlor, Beverage Shop","desserts, beverages",Desserts,BTM,300.0
"1202-1203, Srinidhi Complex, 20th Main, Maruthi Nagar Road, 1st Stage, BTM, Bangalore",Kanti Sweets,Yes,No,4.2,115,btm,Sweet Shop,"mithai, street food",Desserts,BTM,400.0
"799, 7th Cross Road, 2nd Stage, Near Fooddays, BTM, Bangalore",Laddoos,Yes,No,3.4,280,btm,"Quick Bites, Sweet Shop","street food, mithai",Desserts,BTM,200.0
"736/C, 7th Cross, 11th Main MICO Layout, BTM 2nd Stage, BTM, Bangalore",Keventers,Yes,No,3.8,26,btm,"Beverage Shop, Dessert Parlor","beverages, desserts, ice cream",Desserts,BTM,400.0
"69/A, BHCS Layout, 2nd Stage, 2nd Cross, BTM, Bangalore",Shri Ram Sweet Centre,No,No,4.0,164,btm,"Quick Bites, Sweet Shop","street food, mithai",Desserts,BTM,150.0
"688, 3rd Cross, 29th Main Road, 2nd Stage, BTM, Bangalore",Hang10 Resto N Cafe,Yes,No,3.8,102,btm,Casual Dining,"north indian, chinese, beverages",Desserts,BTM,800.0
"16th Main, BTM,2nd Stage Bangalore",Just Bake,Yes,No,3.3,77,btm,Bakery,bakery,Desserts,BTM,400.0
"394, 2nd Stage, BTM, Bangalore",Sweet Truth,Yes,No,4.0,30,btm,Bakery,"bakery, desserts",Desserts,BTM,500.0
"1021, 16th Main, 1st Stage, 1st Phase, BTM, Bangalore",Kesar Sweet Shop and Fast Food,No,No,4.0,213,btm,Quick Bites,"north indian, south indian, chinese, street food, mithai",Desserts,BTM,
"14, Maruthi Nagar Main Road, Madiwala, 1st Stage, BTM Layout, BTM, Bangalore",New Surya Sweets & Snacks,No,No,3.5,7,btm,Sweet Shop,"mithai, fast food",Desserts,BTM,300.0
"668, Ground Floor, 7th Main, N.S Palya",Sri Devi Baker's,No,No,3.9,41,btm,"Bakery, Quick Bites","bakery, street food",Desserts,BTM,200.0
"252, 7th Cross, 2nd Stage, Mico Layout, BTM, Bangalore",KC Das - The Delite Foods,No,No,3.3,29,btm,"Sweet Shop, Quick Bites","mithai, street food",Desserts,BTM,200.0
"25, Opposite KEB Office, 20th Main Road,1st Stage, Maruthinagar, BTM, Bangalore",Jodhpur Sweets & Corner,No,No,3.7,22,btm,"Dessert Parlor, Sweet Shop","desserts, street food, mithai",Desserts,BTM,200.0
"SG Palya Main Road, Behind Christ College Gate, Opposite IDBI Bank ATM, BTM, Bangalore",Special Malai Gola,No,No,,0,btm,Dessert Parlor,ice cream,Desserts,BTM,200.0
"773, 7th Cross, 16th Main, BTM 2nd Stage, BTM, Bangalore",Svadu Sweets & Savouries,No,No,3.7,26,btm,"Quick Bites, Sweet Shop","street food, mithai",Desserts,BTM,200.0
"22, Ground Floor, 7th Cross, 1st B Main, 2nd Stage, BTM, Bangalore",Freeze It,Yes,No,3.6,6,btm,Dessert Parlor,desserts,Desserts,BTM,300.0
"427, Ground Floor, 7th Main, 7th Cross, BTM Layout, Bangalore",Kulfi & More,Yes,No,3.7,47,btm,Dessert Parlor,ice cream,Desserts,BTM,100.0
"10, Maruthi Nagar Main Road, Maruti Nagar, 1st Stage, BTM, Bangalore",Jigarthanda,No,No,3.6,13,btm,Quick Bites,"fast food, desserts, rolls",Desserts,BTM,200.0
"8, G Cross, 20th Main Road, BTM 1st stage, BTM, Bangalore",Chillout,Yes,No,,0,btm,Cafe,"burger, cafe, pizza, beverages",Desserts,BTM,200.0
"46, 4th Cross Road, Madiwala, 1st Stage, BTM, Bangalore",Choice Bakery,No,No,,0,btm,"Bakery, Quick Bites","bakery, fast food",Desserts,BTM,200.0
"81, 2nd Main, 3rd Cross, Near Christ College, BTM, Bangalore",Dribzz Bakes & Cafe,No,No,,0,btm,Quick Bites,"fast food, chinese, desserts",Desserts,BTM,200.0
"15, 4th Cross Road, Maruti Nagar, 1st Stage, BTM, Bangalore",Bombay Kulfis,No,No,,0,btm,Dessert Parlor,ice cream,Desserts,BTM,200.0
"398, 7th Cross, MICO Layout, 2nd Stage",Gelato Pazzo,No,No,3.8,47,btm,Dessert Parlor,desserts,Desserts,BTM,200.0
"12, Ground Floor, Near Christ College, Krishna Nagar Industrial Layout, Hosur Road, BTM, Bangalore",Calvin's,No,No,3.7,106,btm,Dessert Parlor,desserts,Desserts,BTM,600.0
"01, 1st maim NS palya industrial area BTM, Bangalore",Wow Lassi House,Yes,No,,0,btm,"Beverage Shop, Quick Bites","fast food, beverages",Desserts,BTM,250.0
"11, Tavarekere Main Road, Ramappa Layout, 1st Stage, BTM, Bangalore",New Bhangaru Sweets,No,No,,0,btm,Sweet Shop,mithai,Desserts,BTM,300.0
"30, Ground Floor, SG Palaya Main Road, Next to Sreenivasan Theatre, BTM, Bangalore",Kulfi Club,No,No,,0,btm,Dessert Parlor,"desserts, ice cream",Desserts,BTM,200.0
"990, 1st Block, 4th Stage, BTM, Bangalore, Bengaluru",Sri venkateshwara Cake House,No,No,,0,btm,Bakery,"bakery, desserts",Desserts,BTM,500.0
"14, Maruthi Nagar Main Rd, Madiwala, 1st Stage, BTM Layout, Bangalore",New Surya Sweets & Snacks,No,No,3.2,5,btm,Sweet Shop,"mithai, street food",Desserts,BTM,350.0
"Shop 9, Cashier Layout, 3rd Cross, Thavarekere, Madiwala Extension, BTM, Bangalore",Gelato Italiano,Yes,No,3.7,32,btm,"Food Court, Dessert Parlor","ice cream, bakery, desserts",Desserts,BTM,200.0
"130, 17th H Main Road, Koramangala 5th Block, Bangalore",Kurtoskalacs,No,No,4.6,342,koramangala 5th block,"Dessert Parlor, Quick Bites","desserts, fast food",Desserts,BTM,400.0
"203, 1st Main, Koramangala 7th Block, bangalore",Lot Like Crepes,Yes,No,4.6,1028,koramangala 7th block,Dessert Parlor,"desserts, continental",Desserts,BTM,550.0
"70, Jyoti Nivas College Road, Koramangala Industrial Layout, Koramangala 5th Block, Bangalore",99 Pancakes,Yes,No,4.5,360,koramangala 5th block,"Dessert Parlor, Cafe","desserts, beverages, cafe, ice cream",Desserts,BTM,300.0
"49/1, Ground Floor, 1st Main, 5th Block, Near Jyoti Nivas College, Koramangala 5th Block, Bangalore",The Belgian Waffle Co.,Yes,No,4.2,184,koramangala 5th block,Dessert Parlor,"desserts, beverages",Desserts,BTM,350.0
"Dalmiya Circle, 100 Feet Road, 5th Phase, JP Nagar, Bangalore",Polar Bear,Yes,No,4.2,220,jp nagar,Dessert Parlor,"desserts, ice cream, beverages, sandwich",Desserts,BTM,400.0
"104, 4th B Cross Road, Koramangala 5th Block, Bangalore",Frozen Bottle,Yes,No,4.1,244,koramangala 5th block,Beverage Shop,"beverages, desserts, ice cream",Desserts,BTM,400.0
"Forum Mall, Hosur Road, Koramangala 7th Block, Bangalore",Krispy Kreme,Yes,No,4.2,449,koramangala 7th block,Dessert Parlor,"desserts, beverages",Desserts,BTM,300.0
"153, Ground Floor, Sheela Arcade, 7th Block, Koramangala 7th Block, Bangalore",Banchharam,No,No,3.9,144,koramangala 7th block,"Quick Bites, Sweet Shop","street food, mithai",Desserts,BTM,200.0
"Ground Floor, 489/1, KHB Colony, Koramangala 5th Block, Bangalore",Cream Stone,Yes,No,4.2,346,koramangala 5th block,Dessert Parlor,"desserts, ice cream, beverages",Desserts,BTM,500.0
"Forum Mall, Hosur Road, Koramangala 7th Block, Bangalore",Baskin Robbins,No,No,4.1,77,koramangala 7th block,Kiosk,"ice cream, desserts",Desserts,BTM,300.0
"18th Main Park, 17th H Main Road, Koramangala 5th Block, Bangalore",Black Deer,No,No,4.4,149,koramangala 5th block,"Takeaway, Delivery","beverages, ice cream, desserts",Desserts,BTM,
"Shop 123, KHB 1st Cross Road, Koramangala 5th Block, Bangalore",The Waffles Hut,Yes,No,3.8,24,koramangala 5th block,Dessert Parlor,"desserts, beverages",Desserts,BTM,400.0
"Near Jyoti Nivas College,1st Main,Koramangala 5th Block, Bangalore",Lassi Shop,Yes,No,4.1,216,koramangala 5th block,Beverage Shop,"beverages, ice cream",Desserts,BTM,200.0
"3rd Floor, Food Court, Vega City Mall, Srinivas Industrial Estate, Bannerghatta Road, Bangalore",WAFL,Yes,No,4.0,42,bannerghatta road,Food Court,"desserts, beverages, american",Desserts,BTM,400.0
"405, 60 Feet Road, Koramangala 6th Block, Bangalore",Iyengar's Bakery,No,No,3.5,11,koramangala 6th block,Bakery,"bakery, fast food",Desserts,BTM,200.0
"4, 1st Cross, Christ School Road, Bhavani Layout, Bannerghatta Road, Bangalore",Cafe Arabica,No,No,3.8,69,bannerghatta road,"Cafe, Bakery","cafe, bakery, arabian, fast food",Desserts,BTM,700.0
"26/7, 31st Cross, 4th T Block, Jayanagar, Bangalore",Sri Annapoorna Bajji Center,No,No,3.9,15,jayanagar,"Sweet Shop, Quick Bites","mithai, street food",Desserts,BTM,100.0
"1532/15, 39th E Cross, Jayanagar, Bangalore",Bunny Bakers,No,No,3.6,31,jayanagar,Bakery,"bakery, fast food",Desserts,BTM,250.0
"1478/1, 18th Main, 40th Cross, 4th T Block, Jayanagar, Bangalore",Tummy Fuel,Yes,No,4.1,450,jayanagar,Cafe,"cafe, beverages, fast food, street food",Desserts,BTM,400.0
"Shop no 2 No 34 5th cross, 60ft main road 5th block, Koramangala 5th Block, Bangalore",Karachi Bakery,Yes,No,3.4,8,koramangala 5th block,Bakery,"bakery, fast food, desserts",Desserts,BTM,400.0
"1328, 41th Cross, 24th A Main Road, 9th Block, Jayanagar, Bangalore",Adiga Sweets,No,No,,0,jayanagar,Takeaway,"mithai, beverages",Desserts,BTM,200.0
"1382, East End Circle, 9th Block, Jayanagar, Bangalore",World Of Sweets And Cakes,No,No,,0,jayanagar,"Bakery, Sweet Shop","bakery, mithai",Desserts,BTM,200.0
"Food Court, Forum Mall, Koramangala 7th Block, Bangalore",5 Degree Centigrade,No,No,,0,koramangala 7th block,Food Court,"beverages, ice cream",Desserts,BTM,150.0
"61, 8th Cross, DC Halli Main Road, Kaveri Nagar, Bommanahalli, Bangalore",Bake The Cake,Yes,No,3.2,4,bommanahalli,"Bakery, Beverage Shop","bakery, fast food, beverages",Desserts,BTM,250.0
"Building Number 58, Jyoti Nivas College Road, Koramangala 5th Block",Chocalot,No,No,,0,koramangala 5th block,Dessert Parlor,desserts,Desserts,BTM,800.0
"Venkatdri Industrial Area, Mangammanapalya Road, Next to Bommanhalli Post Office, Bommanahalli, Bangalore",Me And My Cake,No,No,3.2,4,bommanahalli,Takeaway,"bakery, desserts",Desserts,BTM,500.0
"17th Main, Near Soubagya, Koramangala 5th Block, Bangalore",Arafa Juice Center,No,No,3.5,10,koramangala 5th block,Quick Bites,"juices, desserts, fast food",Desserts,BTM,250.0
"119, Axis Bank Building, Koramangala 7th Block Industrial Area, 80 Feet Road, Koramangala 7th Block, Bangalore",Shree Mithai,No,No,3.3,10,koramangala 7th block,"Quick Bites, Sweet Shop","desserts, street food, mithai",Desserts,BTM,150.0
"1505/29, 25th Main, Below Canara Bank, Jayanagar 9th Block, Jayanagar, Bangalore",A1 Express,No,No,,0,jayanagar,Bakery,bakery,Desserts,BTM,300.0
"3, 1st Floor, 1st Main, 4th T Block, NAL Layout, East End Main Road, Jayanagar, Bangalore",Meraki Patisserie,No,No,3.3,6,jayanagar,Bakery,"bakery, desserts",Desserts,BTM,350.0
"KHB Block, Domlur Village, Koramangala 4th Block, Bangalore",Nandhana Mithai,No,No,,0,koramangala 4th block,Sweet Shop,"mithai, desserts",Desserts,BTM,500.0
"G7 & 8, Alpine Complex, Begur Main Rd, Bommanahalli, Bangalore",Lulu Bakes & Sweets,No,No,,0,bommanahalli,Bakery,bakery,Desserts,BTM,300.0
"1292, 25th Main Road, 9th Block, Jayanagar, Bangalore",Mother Nature Kulfi,No,No,3.6,10,jayanagar,Dessert Parlor,"desserts, ice cream",Desserts,BTM,200.0
"2nd Floor, Transit, Forum Mall, Hosur Road, Koramangala 7th Block, Bangalore",Cream N Desserts,No,No,3.7,49,koramangala 7th block,"Dessert Parlor, Beverage Shop","desserts, beverages",Desserts,BTM,400.0
"348/349, 7th Block, 80 Feet Road, Opp. HDFC Bank, Koramangala 7th Block, Bangalore",Cake Yard,No,No,2.9,30,koramangala 7th block,Dessert Parlor,desserts,Desserts,BTM,250.0
"44, BDA Complex, Koramangala 3rd Block, Bangalore",Sangam Sweets,Yes,No,3.8,75,koramangala 3rd block,Sweet Shop,"mithai, street food",Desserts,BTM,200.0
"3, 100 Feet Road, 16th Main Road, 1st Stage, BTM Layout",A2B - Adyar Ananda Bhavan,Yes,No,3.8,685,btm,Casual Dining,"south indian, north indian, chinese, street food, fast food",Dine-out,BTM,400.0
"9/10, Chikka Lakshmiah Layout, Near Forum Mall, BTM, Bangalore",Brother?s Bar & Kitchen,No,No,3.4,5,btm,Casual Dining,"chinese, north indian",Dine-out,BTM,1000.0
"28, 5th Cross Rd, Maruti Nagar, 1st Stage, BTM, Bangalore",Crown Resto,No,No,,0,btm,Casual Dining,"kerala, chinese, fast food",Dine-out,BTM,600.0
"27, BHBCS Layout, Opposite Gopalan Mall, BTM, Bangalore",Aaccord Restaurant,No,No,,0,btm,Casual Dining,"continental, north indian, chinese",Dine-out,BTM,600.0
"57, 8th A Main, 1st Stage, BTM, Bangalore",Zam Zam Darbar,No,No,2.9,84,btm,Casual Dining,"north indian, biryani, chinese",Dine-out,BTM,500.0
"321/34, Sheriff Complex, Opposite Total Mall, Madiwala, BTM, Bangalore",Mayur,No,No,3.6,18,btm,Casual Dining,"andhra, north indian, chinese",Dine-out,BTM,500.0
"107, 3rd Cross Road, Bharathi Layout, Balaji Nagar, Suddagunte Palya, BTM, Bangalore",S.S Bangali Restaurant,No,No,,0,btm,Quick Bites,"south indian, north indian",Dine-out,BTM,300.0
"86,9th Cross,Tavarekere, 1st Phase, BTM, Bangalore",Golden Grill Restaurant,No,No,3.5,18,btm,Casual Dining,"arabian, chinese, north indian, kerala, seafood",Dine-out,BTM,550.0
"104, 1st Cross, 20th Main, Maruthi Nagar Main Road, 1st Stage, BTM, Bangalore",Smoothie Hub,No,No,,0,btm,"Beverage Shop, Quick Bites","beverages, fast food",Dine-out,BTM,400.0
"29th Main Road, BTM Layout 2nd Stage, BTM, Bangalore",WhatsUp 99 Variety Dosa,No,No,,0,btm,Kiosk,maharashtrian,Dine-out,BTM,200.0
"Davanam Sarovar Portico, 3rd Floor, Total Mall, BTM, Bangalore",Zanzibar - Davanam Sarovar Portico Suites,No,No,3.5,39,btm,Bar,finger food,Dine-out,BTM,1200.0
"75/4, Maruthi Nagar Main Road, 1st Stage, BTM, Bangalore",Aaharaa,No,No,,0,btm,Quick Bites,north indian,Dine-out,BTM,300.0
"84, St.Antony Fairy Church",Seekers Cafe,No,No,3.6,25,btm,Casual Dining,"italian, continental",Dine-out,BTM,500.0
"688, Thanish Corner, 7th Main, 10th Cross, 2nd Phase, BTM, Bangalore",100ÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ°C,No,No,3.7,41,btm,Casual Dining,"biryani, north indian",Dine-out,BTM,450.0
"102, 8th Main, Vyshya Bank Colony, Maruthi Layout, BTM Layout, Bangalore, BTM, Bangalore",Ma-Arya Family Restaurant,No,No,3.1,8,btm,Casual Dining,"biryani, south indian, north indian, chinese, andhra",Dine-out,BTM,600.0
"33, 20th A Main, 13th Cross, Venkateshwara Layout, 1st Stage, BTM, Bangalore",Sri Durga Cane Fresh,No,No,3.4,5,btm,Beverage Shop,"juices, beverages, fast food",Dine-out,BTM,100.0
"26, 20th Main 6th Cross, Gangothri Circle, 1st Stage, BTM, Bangalore",MK RESTAURANT,No,No,,0,btm,Quick Bites,north indian,Dine-out,BTM,400.0
"212, Aicobo Nagar, 1st Stage, BTM Layout, BTM, Bangalore",Venessa,No,No,,0,btm,Casual Dining,"north indian, south indian, asian, continental",Dine-out,BTM,1200.0
"Kolliyil, Kolliylhouse, Madiwala, Margi Nagar Street, Near El Silver, BTM, Bangalore",BTM,No,No,,0,btm,Casual Dining,"north indian, south indian",Dine-out,BTM,400.0
"31,32, Bhuvanappa Layout, 2nd Cross, Opposite Forum Mall, Tavarakere Main Road",Benzys,No,No,3.2,6,btm,Casual Dining,"arabian, chinese, hyderabadi, kerala",Dine-out,BTM,700.0
"44/45, Hosur Road, Adugodi, BTM, Bangalore",Shiva's Bar And Restaurant,No,No,,0,btm,"Bar, Casual Dining","south indian, north indian, fast food",Dine-out,BTM,800.0
"65, 60 Feet Rd, Keb Layout, Narayan Gowda Layout, 1st Stage, BTM Layout",Nanna Munna,No,No,3.4,8,btm,Quick Bites,"north indian, chinese",Dine-out,BTM,200.0
"12, Near Christ College, Krishna Nagar, Industrial Layout, Hosur Road, BTM, Bangalore",Bamboo Heights,No,No,3.7,112,btm,Casual Dining,"chinese, fast food, continental",Dine-out,BTM,500.0
"248, Krishna Vaibhav Building, 6th Main, 2nd Stage, BTM, Bangalore",Chai Point,Yes,No,4.0,113,btm,"Beverage Shop, Quick Bites","tea, beverages, fast food",Dine-out,BTM,250.0
"931, Bhavani Sadana, 4th Main Road, 1st Sector, 4th Stage, BTM, Bangalore",Pizza Hut,Yes,No,3.3,19,btm,Casual Dining,"pizza, fast food",Dine-out,BTM,750.0
"69, 7th Main Road, 2nd Stage, BTM, Bangalore",Namaste,No,No,,0,btm,Quick Bites,south indian,Dine-out,BTM,70.0
"9, Outer Ring Road, Kuvempu Nagar, Stage 2, BTM Layout, Bengaluru",Ambur Star Briyani,Yes,No,3.5,383,btm,Quick Bites,"biryani, kebab",Dine-out,BTM,400.0
"2B Block, Total Mall, Hosur Road, Madiwala",KFC,Yes,No,3.9,348,btm,Quick Bites,"burger, fast food",Dine-out,BTM,400.0
"800, Near ICICI Bank, 7th Cross, 15th Main, 2nd Stage, BTM, Bangalore",Domino's Pizza,Yes,No,4.1,521,btm,Quick Bites,"pizza, fast food",Dine-out,BTM,400.0
"394, 7th Cross Road, 8th Main, 2nd Stage, BTM, Bangalore",Faasos,Yes,No,3.9,441,btm,Quick Bites,"north indian, biryani, fast food",Dine-out,BTM,500.0
"5, Aradhana Complex, Chocolate Factory Road, 1st Stage, BTM, Bangalore",New Limra Hotel,No,No,3.4,5,btm,Quick Bites,"south indian, biryani, fast food",Dine-out,BTM,200.0
"Number 15-30, First Cross, BTM First Stage, Bangalore",Bangalore Star Biriyani,No,No,3.4,7,btm,Quick Bites,"biryani, chinese, north indian",Dine-out,BTM,300.0
